mirna	freq
hsa-mir-574	15
hsa-mir-487b	5
hsa-mir-3179	1
hsa-mir-3687	1
hsa-mir-500a	2
hsa-mir-4649	1
hsa-mir-647	3
hsa-mir-376b	4
hsa-mir-539	7
hsa-mir-5004	1
hsa-mir-409	15
hsa-mir-525	2
hsa-mir-23c	2
hsa-mir-572	7
hsa-mir-320b	6
hsa-mir-4513	1
hsa-mir-1178	2
hsa-mir-8084	2
hsa-mir-205	43
hsa-mir-569	1
hsa-mir-26a-1	20
hsa-mir-381	13
hsa-mir-23a	53
hsa-mir-146a	115
hsa-mir-181c	25
hsa-mir-450b	4
hsa-mir-526a	1
hsa-mir-4717	2
hsa-mir-10a	29
hsa-mir-494	32
hsa-mir-1207	7
hsa-mir-627	2
hsa-mir-378h	4
hsa-mir-888	3
hsa-mir-193b	30
hsa-mir-337	5
hsa-mir-19b-2	21
hsa-mir-183	50
hsa-mir-1301	3
hsa-mir-135a	21
hsa-mir-3913	1
hsa-mir-9	60
hsa-mir-556	2
hsa-mir-1273g	4
hsa-mir-585	1
hsa-mir-103a	19
hsa-mir-331	17
hsa-mir-150	76
hsa-mir-488	6
hsa-mir-711	1
hsa-mir-1290	7
hsa-mir-503	19
hsa-mir-432	7
hsa-mir-153	18
hsa-mir-5100	3
hsa-mir-15b	42
hsa-mir-3188	1
hsa-mir-564	3
hsa-mir-106a	41
hsa-mir-1245b	1
hsa-mir-618	6
hsa-mir-602	3
hsa-mir-4758	1
hsa-mir-1271	10
hsa-mir-505	12
hsa-mir-424	30
hsa-mir-630	11
hsa-mir-16	71
hsa-mir-1269a	1
hsa-mir-412	1
hsa-mir-33b	17
hsa-mir-378f	4
hsa-mir-3915	2
hsa-mir-3646	2
hsa-mir-623	1
hsa-mir-770	1
hsa-mir-514a	2
hsa-mir-3607	2
hsa-mir-606	1
hsa-mir-192	41
hsa-mir-659	3
hsa-mir-657	2
hsa-mir-1265	1
hsa-mir-510	6
hsa-mir-2278	3
hsa-mir-520e	5
hsa-mir-487a	1
hsa-mir-1229	1
hsa-mir-449b	12
hsa-mir-4639	1
hsa-mir-519a	4
hsa-mir-24-2	15
hsa-mir-199b	27
hsa-mir-1915	2
hsa-mir-519d	7
hsa-mir-449a	25
hsa-mir-1238	2
hsa-mir-760	6
hsa-mir-645	1
hsa-mir-302d	12
hsa-mir-17	85
hsa-mir-483	24
hsa-mir-30c-1	17
hsa-mir-1295a	1
hsa-mir-892b	1
hsa-mir-3614	1
hsa-mir-518f	1
hsa-mir-655	5
hsa-mir-1233	1
hsa-mir-3151	2
hsa-mir-26b	40
hsa-mir-103a-2	15
hsa-mir-1323	3
hsa-mir-769	3
hsa-mir-423	24
hsa-mir-30c-2	19
hsa-mir-3923	1
hsa-mir-4262	1
hsa-mir-578	1
hsa-mir-20a	73
hsa-mir-517c	2
hsa-mir-339	19
hsa-mir-208b	11
hsa-mir-1292	1
hsa-mir-3622b	1
hsa-mir-3131	1
hsa-mir-497	26
hsa-mir-19a	64
hsa-mir-367	14
hsa-mir-18a	52
hsa-mir-4736	1
hsa-mir-1244	1
hsa-mir-125b-2	31
hsa-mir-762	1
hsa-mir-181d	16
hsa-mir-548c	2
hsa-mir-599	2
hsa-mir-361	15
hsa-mir-650	9
hsa-mir-548f	1
hsa-mir-513b	4
hsa-mir-934	1
hsa-mir-508	6
hsa-mir-148a	41
hsa-mir-380	4
hsa-mir-1225	4
hsa-mir-19b	51
hsa-mir-3654	1
hsa-mir-1298	2
hsa-mir-4423	1
hsa-mir-552	2
hsa-mir-517a	8
hsa-mir-142	63
hsa-mir-3148	1
hsa-mir-548ac	1
hsa-mir-18b	16
hsa-mir-616	7
hsa-mir-302b	15
hsa-mir-652	12
hsa-mir-3065	1
hsa-mir-224	34
hsa-mir-378b	4
hsa-mir-134	30
hsa-mir-466	2
hsa-mir-1285	4
hsa-mir-1294	1
hsa-mir-29a	77
hsa-mir-1258	3
hsa-mir-637	7
hsa-mir-181a	53
hsa-mir-524	6
hsa-mir-378e	4
hsa-mir-517b	2
hsa-mir-1260a	4
hsa-mir-660	8
hsa-mir-129	25
hsa-mir-10b	37
hsa-mir-566	3
hsa-mir-24	50
hsa-mir-642b	2
hsa-mir-146b	52
hsa-mir-499a	18
hsa-mir-302f	5
hsa-mir-4634	2
hsa-mir-7515	1
hsa-mir-23b	45
hsa-mir-320e	2
hsa-mir-371b	3
hsa-mir-619	1
hsa-mir-873	7
hsa-mir-558	2
hsa-mir-664b	1
hsa-mir-99a	35
hsa-mir-96	36
hsa-mir-6836	2
hsa-mir-4731	1
hsa-mir-598	4
hsa-mir-668	2
hsa-mir-939	6
hsa-mir-4701	1
hsa-mir-212	24
hsa-mir-516b	2
hsa-mir-3663	1
hsa-mir-340	18
hsa-mir-3163	1
hsa-mir-184	21
hsa-mir-636	6
hsa-mir-4294	1
hsa-mir-550b-2	1
hsa-mir-499b	3
hsa-mir-362	11
hsa-mir-634	5
hsa-mir-154	13
hsa-mir-663b	2
hsa-mir-188	10
hsa-mir-222	63
hsa-mir-218-2	16
hsa-mir-583	1
hsa-mir-369	7
hsa-mir-550a	6
hsa-mir-615	3
hsa-mir-19b-1	48
hsa-mir-4739	3
hsa-mir-346	9
hsa-mir-1302	1
hsa-mir-520c	11
hsa-mir-208a	13
hsa-mir-520f	3
hsa-mir-92a	66
hsa-mir-4530	1
hsa-mir-4480	1
hsa-mir-149	39
hsa-mir-373	28
hsa-mir-4279	2
hsa-mir-1256	1
hsa-mir-4286	2
hsa-mir-298	5
hsa-mir-30d	21
hsa-mir-518b	5
hsa-mir-181a-2	30
hsa-mir-4448	1
hsa-mir-1288	1
hsa-mir-3130	2
hsa-mir-1245a	1
hsa-mir-5193	1
hsa-mir-7	37
hsa-mir-506	13
hsa-mir-663a	9
hsa-mir-764	1
hsa-mir-513a	5
hsa-mir-4284	2
hsa-mir-4488	1
hsa-mir-4534	1
hsa-mir-200c	47
hsa-mir-28	20
hsa-mir-1291	3
hsa-mir-4270	1
hsa-mir-129-1	12
hsa-mir-4697	2
hsa-mir-4417	1
hsa-mir-4454	1
hsa-mir-1	47
hsa-mir-203a	8
hsa-mir-130b	32
hsa-mir-935	2
hsa-mir-532	12
hsa-mir-603	4
hsa-mir-1246	12
hsa-mir-640	3
hsa-mir-345	9
hsa-mir-151a	18
hsa-mir-137	28
hsa-mir-216b	9
hsa-mir-147a	5
hsa-mir-507	1
hsa-mir-138	45
hsa-mir-217	12
hsa-mir-3126	1
hsa-mir-592	9
hsa-mir-622	5
hsa-mir-1908	4
hsa-mir-519e	4
hsa-mir-632	4
hsa-mir-3926	1
hsa-mir-7152	1
hsa-mir-29b	68
hsa-mir-126	76
hsa-mir-7847	1
hsa-mir-521	1
hsa-mir-765	6
hsa-mir-300	6
hsa-mir-136	14
hsa-mir-34b	41
hsa-mir-544a	2
hsa-mir-130a	39
hsa-mir-593	1
hsa-mir-128	29
hsa-mir-30b	31
hsa-mir-323a	6
hsa-mir-214	47
hsa-mir-520b	10
hsa-mir-1249	2
hsa-mir-4317	2
hsa-mir-591	2
hsa-mir-2116	1
hsa-mir-4728	3
hsa-mir-144	42
hsa-mir-581	1
hsa-mir-557	4
hsa-mir-579	4
hsa-mir-433	10
hsa-mir-297	3
hsa-mir-4271	1
hsa-mir-548p	1
hsa-mir-541	1
hsa-mir-675	11
hsa-mir-196a	30
hsa-mir-570	6
hsa-mir-223	77
hsa-mir-133a	40
hsa-mir-3171	1
hsa-mir-761	2
hsa-mir-3960	1
hsa-mir-145	79
hsa-mir-484	15
hsa-mir-422a	9
hsa-mir-2861	2
hsa-mir-218-1	19
hsa-mir-6075	1
hsa-mir-1283	3
hsa-mir-218	39
hsa-mir-520d	10
hsa-mir-105	6
hsa-mir-520a	11
hsa-mir-4792	2
hsa-mir-512	7
hsa-mir-940	8
hsa-mir-193a	25
hsa-mir-301a	18
hsa-mir-624	2
hsa-mir-372	22
hsa-mir-1185	1
hsa-mir-330	13
hsa-mir-922	3
hsa-mir-1297	5
hsa-mir-548an	1
hsa-mir-451a	23
hsa-mir-1254	3
hsa-mir-1471	1
hsa-mir-489	8
hsa-mir-3651	2
hsa-mir-3176	1
hsa-mir-643	1
hsa-mir-3976	1
hsa-mir-211	15
hsa-mir-744	11
hsa-mir-5586	1
hsa-mir-335	28
hsa-mir-92a-2	27
hsa-mir-197	29
hsa-mir-586	1
hsa-mir-1181	3
hsa-mir-133b	36
hsa-mir-4489	1
hsa-mir-671	5
hsa-mir-590	18
hsa-mir-33a	17
hsa-mir-3186	1
hsa-mir-654	1
hsa-mir-4295	2
hsa-mir-517	1
hsa-mir-500b	2
hsa-mir-518a	2
hsa-mir-567	1
hsa-mir-3117	1
hsa-mir-27b	49
hsa-mir-2909	4
hsa-mir-25	37
hsa-mir-941	3
hsa-mir-1202	5
hsa-mir-198	12
hsa-mir-206	52
hsa-mir-124	53
hsa-mir-374a	9
hsa-mir-148b	22
hsa-mir-29b-1	30
hsa-mir-410	16
hsa-mir-3648	1
hsa-mir-216a	10
hsa-mir-20b	22
hsa-mir-3610	1
hsa-mir-614	2
hsa-mir-646	5
hsa-mir-1236	4
hsa-mir-493	7
hsa-mir-629	14
hsa-mir-608	7
hsa-mir-641	1
hsa-mir-550a-3	2
hsa-mir-582	8
hsa-mir-4449	2
hsa-mir-4268	1
hsa-mir-577	3
hsa-mir-545	5
hsa-mir-3662	1
hsa-mir-29c	56
hsa-mir-1973	3
hsa-mir-4487	2
hsa-mir-30a	47
hsa-mir-1226	2
hsa-mir-1303	3
hsa-mir-486	32
hsa-mir-375	39
hsa-mir-302c	14
hsa-mir-196b	24
hsa-mir-1343	1
hsa-mir-513c	7
hsa-mir-604	2
hsa-mir-548t	1
hsa-mir-658	1
hsa-mir-874	8
hsa-mir-378c	4
hsa-mir-323b	4
hsa-mir-520g	5
hsa-mir-378a	18
hsa-mir-7-1	19
hsa-mir-190a	6
hsa-mir-99b	21
hsa-mir-3162	2
hsa-mir-132	44
hsa-mir-6126	2
hsa-mir-4496	2
hsa-mir-638	17
hsa-mir-421	6
hsa-mir-3196	2
hsa-mir-766	5
hsa-mir-501	6
hsa-mir-378g	4
hsa-mir-448	9
hsa-mir-301b	8
hsa-mir-4455	2
